prefix,input_text,target_text
bug,php remote file inclusion vulnerability in functions.php in circle r monster top list ( mtl ) 1.4 allows remote attackers to execute arbitrary php code via a url in the root_path parameter . note : it was later reported that 1.4.2 and earlier are affected . ,code execution is possible from a file inclusion vulnerability via a url in the root_path parameter .
swv,"multiple cross-site scripting ( xss ) vulnerabilities in cacti 0.8.8b allow remote attackers to inject arbitrary web script or html via the ( 1 ) drp_action parameter to cdef.php , ( 2 ) data_input.php , ( 3 ) data_queries.php , ( 4 ) data_sources.php , ( 5 ) data_templates.php , ( 6 ) graph_templates.php , ( 7 ) graphs.php , ( 8 ) host.php , or ( 9 ) host_templates.php or the ( 10 ) graph_template_input_id or ( 11 ) graph_template_id parameter to graph_templates_inputs.php . ",cacti 0.8.8b
bug,crlf injection vulnerability in the hmi web in siemens wincc ( tia portal ) 11 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via a crafted url . ,httprs and crlf injection are possible via a crafted url for the hmi web . 
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site.
swv,"the web interface in cups before 1.4.2 , as used on apple mac os x before 10.6.2 and other platforms , does not properly handle ( 1 ) http headers and ( 2 ) html templates , which allows remote attackers to conduct cross-site scripting ( xss ) attacks and http response splitting attacks via vectors related to ( a ) the product web interface , ( b ) the configuration of the print system , and ( c ) the titles of printed jobs , as demonstrated by an xss attack that uses the kerberos parameter to the admin program , and leverages attribute injection and http parameter pollution ( hpp ) issues . ",cups before 1.4.2 as used on apple mac os x before 10.6.2 and other platforms
bug,stack-based buffer overflow in the smc program in smcfancontrol 2.1.2 allows local users to execute arbitrary code and gain privileges via a long -k option . ,gaining privileges is possible via a long -k option for the smc program . 
bug,"the webkit canvas implementation in apple ios before 9.3.2 , safari before 9.1.1 , and tvos before 9.2.1 allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via a crafted web site . ",executing arbitrary commands and denial of service is possible via a crafted web site for the webkit canvas implementation . 
swv,"win32k.sys in the kernel-mode drivers in microsoft windows server 2003 sp2 , windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , and windows rt gold and 8.1 allows local users to gain privileges or cause a denial of service ( null pointer dereference ) via a crafted application , aka win32k elevation of privilege vulnerability . ",microsoft windows server 2003 sp2 windows vista sp2 windows server 2008 sp2 and r2 sp1 windows 7 sp1 windows 8 windows 8.1 windows server 2012 gold and r2 windows rt gold and 8.1
swv,php remote file inclusion vulnerability in performs.php in the performs component ( com_performs ) 1.0 and earlier for joomla allows remote attackers to execute arbitrary php code via a url in the mosconfig_absolute_path parameter . ,the performs component ( com_performs ) 1.0 and earlier for joomla
swv,crlf injection vulnerability in infoblox network automation netmri before 7.1.1 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via the contenttype parameter in a login action to config/useradmin/login.tdf . ,infoblox network automation netmri before 7.1.1
swv,"microsoft word 2003 sp3 and word viewer allow remote attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via a crafted office document , aka word memory corruption vulnerability . ",microsoft word 2003 sp3 and word viewer
sum,an issue was discovered in certain apple products . macos before 10.13.1 is affected . the issue involves the fsck_msdos component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app . ,"in macos before 10.13.1 , memory corruption is possible in the fsck_msdos component via a crafted app . "
swv,directory traversal vulnerability in webcoremodule.ashx in radactive i-load before 2008.2.5.0 allows remote attackers to read arbitrary files via unspecified vectors . ,radactive i-load before 2008.2.5.0
sum,"piwik 1.1 allows remote attackers to obtain sensitive information via a direct request to a .php file , which reveals the installation path in an error message , as demonstrated by plugins/widgetize/widgetize.php and certain other files . ","in piwik 1.1 , gaining information is possible via a direct request to a .php file . "
swv,php remote file inclusion vulnerability in p-popupgallery.php in f @ cile interactive web 0.8.41 through 0.8.5 allows remote attackers to execute arbitrary php code via a url in the l parameter . ,f @ cile interactive web 0.8.41 through 0.8.5
swv,"tpacket_rcv function in net/packet/af_packet.c in the linux kernel before 4.13 mishandles vnet headers , which might allow local users to cause a denial of service ( buffer overflow , and disk and memory corruption ) or possibly have unspecified other impact via crafted system calls . ",linux kernel before 4.13
bug,"multiple php remote file inclusion vulnerabilities in azerbaijan design & development group ( azdg ) azdgvote allow remote attackers to execute arbitrary php code via a url in the int_path parameter in ( 1 ) vote.php , ( 2 ) view.php , ( 3 ) admin.php , and ( 4 ) admin/index.php . ","code execution is possible from a file inclusion vulnerability via a url in the int_path parameter in ( 1 ) vote.php , ( 2 ) view.php , ( 3 ) admin.php , and ( 4 ) admin/index.php . "
bug,"double free vulnerability in the php_wddx_process_data function in wddx.c in the wddx extension in php before 5.5.37 , 5.6.x before 5.6.23 , and 7.x before 7.0.8 allows remote attackers to cause a denial of service ( application crash ) or possibly execute arbitrary code via crafted xml data that is mishandled in a wddx_deserialize call . ",remote denial of service attack or arbitrary code exeuction is possible via crafted xml data that is mishandled in a wddx_deserialize call because of double free vulnerability in the php_wddx_process_data function in wddx.c
bug,"an issue was discovered in certain apple products . ios before 11.2 is affected . safari before 11.0.2 is affected . icloud before 7.2 on windows is affected . itunes before 12.7.2 on windows is affected . tvos before 11.2 is affected . the issue involves the ""webkit"" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
swv,quartz composer framework in apple os x before 10.10.5 allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted quicktime file . ,quartz composer framework in apple os x before 10.10.5
